ID,Age,Gender,Primary Race,Secondary Race,Ethnicity,Rebuild Services
aagm06191985a420a223,30,Male,Client refused (HUD),Client refused (HUD),Non-Hispanic/Non-Latino (HUD),Phones
aalm06221963a340a450,52,Male,,,,
aalm06281955a416a450,60,Male,,,Non-Hispanic/Non-Latino (HUD),
abbm09251980a650b140,35,Male,,,,Ids
abom01091957a536b650,59,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Ids
abom06281967a535b620,48,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Ids
abom06281967a535b620,48,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Staff Person
abom09091952a416b650,63,Male,Black or African American (HUD),,Non-Hispanic/Non-Latino (HUD),Ids
abom10131959a535b650,56,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Case Management
abom10131959a535b650,56,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Phones
abom10131959a535b650,56,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Staff Person
abom10131959a535b650,56,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),
abom12021988a654b650,27,Male,,,,Phones
abrf09181991a560b620,24,Female,Black or African American (HUD),,Non-Hispanic/Non-Latino (HUD),
abrm09161959a535b635,56,Male,,,,Case Management
abrm09161959a535b635,56,Male,,,,Showers
abyf08281948a360b600,67,Female,,,,Case Management
acef05101968a530c655,48,Female,,,,Phones
acef05101968a530c655,48,Female,,,,Showers
acef06291979a516c500,36,Female,White (HUD),White (HUD),Non-Hispanic/Non-Latino (HUD),Case Management
acef06291979a516c500,36,Female,White (HUD),White (HUD),Non-Hispanic/Non-Latino (HUD),Mail
acef06291979a516c500,36,Female,White (HUD),White (HUD),Non-Hispanic/Non-Latino (HUD),Phones
acef06291979a516c500,36,Female,White (HUD),White (HUD),Non-Hispanic/Non-Latino (HUD),Showers
aclm03061960a524c452,56,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Mail
aclm11131982a634c455,33,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Medical
aclm11131982a634c455,33,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Other
aclm11131982a634c455,33,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Phones
aclm11131982a634c455,33,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Staff Person
aclm11131982a634c455,33,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),
acnm11241964a452c564,51,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Mail
acnm11241964a452c564,51,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Phones
acnm11241964a452c564,51,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Showers
acnm11241964a452c564,51,Male,Black or African American (HUD),Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Staff Person
acom05161987a415c623,29,Male,,,,Case Management
acom05161987a415c623,29,Male,,,,Lunch
acom05161987a415c623,29,Male,,,,Mail
acom05161987a415c623,29,Male,,,,Phones
acom05161987a415c623,29,Male,,,,Showers
acom05161987a416c623,29,Male,,,,Showers
acrm02061979a536c615,37,Male,White (HUD),,Non-Hispanic/Non-Latino (HUD),Birth Certificate
acrm02061979a536c615,37,Male,White (HUD),,Non-Hispanic/Non-Latino (HUD),Showers
acrm02141965a450c624,51,Male,White (HUD),,Non-Hispanic/Non-Latino (HUD),Other
acrm02141965a450c624,51,Male,White (HUD),,Non-Hispanic/Non-Latino (HUD),Showers
acrm02161942a435c622,74,Male,Black or African American (HUD),,Non-Hispanic/Non-Latino (HUD),Medical
acrm02161942a435c622,74,Male,Black or African American (HUD),,Non-Hispanic/Non-Latino (HUD),Prescription
acrm02161942a435c622,74,Male,Black or African American (HUD),,Non-Hispanic/Non-Latino (HUD),Staff Person
acsm12051951a535c253,64,Male,White (HUD),White (HUD),Non-Hispanic/Non-Latino (HUD),Medical
acsm12051951a535c253,64,Male,White (HUD),White (HUD),Non-Hispanic/Non-Latino (HUD),Other
acsm12051951a535c253,64,Male,White (HUD),White (HUD),Non-Hispanic/Non-Latino (HUD),Phones
acsm12051951a535c253,64,Male,White (HUD),White (HUD),Non-Hispanic/Non-Latino (HUD),Showers
acsm12051951a535c253,64,Male,White (HUD),White (HUD),Non-Hispanic/Non-Latino (HUD),Staff Person
acsm12051951a535c253,64,Male,White (HUD),White (HUD),Non-Hispanic/Non-Latino (HUD),
acvm10311965a654c152,50,Male,Black or African American (HUD),,Non-Hispanic/Non-Latino (HUD),Groceries
acwm10181954a450c500,61,Male,White (HUD),White (HUD),Non-Hispanic/Non-Latino (HUD),Phones
adam07181960a636d500,55,Male,Black or African American (HUD),,Non-Hispanic/Non-Latino (HUD),Ids
adam07241984a650d200,31,Male,,,,Showers
ade 07161990a513d000,25,,,,,Showers
adem07131965a400d000,50,Male,,,,Mail
adnm03211995a536d520,21,Male,,,,Showers
advm05141954a415d120,62,Male,,,,
advm08271990a135d120,25,Male,,,,Showers
aeam02141961a535e152,55,Male,Black or African American (HUD),,,Showers
aeam02141961a535e152,55,Male,Black or African American (HUD),,,
aerm09091956a235e640,59,Male,Black or African American (HUD),,,Groceries
aesm04201965a365e240,51,Male,Black or African American (HUD),,Non-Hispanic/Non-Latino (HUD),Phones
aesm04201965a365e240,51,Male,Black or African American (HUD),,Non-Hispanic/Non-Latino (HUD),Showers
