Categories,Key,Item Type,Publication Year,Author,Title,Journal,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
Brain,996KRU59,journalArticle,2012,"Lee, M. J.; Cho, J. H.; Galas, D. J.; Wang, K.",The systems biology of neurofibromatosis type 1 — critical roles for microRNA,Experimental Neurology,,,http://dx.doi.org/10.1016/j.expneurol.2011.10.023,,"Neurofibromatosis type 1 (NF1) is one of the most common inherited neurological disorders with a wide range of clinical manifestations. The causative gene for NF1 encodes a multi-domain protein, neurofibromin, which interacts with RAS through its RAS-GAP domain. Dysfunction of neurofibromin results in abnormal RAS activation in the cells which has been thought to be the main process in the initiation and progression of NF1. Based on this hypothesis, inhibitors for various RAS mediated signaling pathways are in different stages of clinical trials to treat NF1 or NF1-associated symptoms. While the molecular genetics of NF1 has made significant progress in recent years, the underlying etiology and progression of NF1 are yet to be fully understood. Besides review and summarization of the latest results of genetic, transcriptomic and microRNA studies associated with NF1, we conducted limited post-hoc analysis to illustrate the importance of using integrated systems biology approach to study complex diseases like NF1.",2012-06,9/14/15 19:04,2/9/16 0:19,,464-8,,2,235,,,,,,,,,,,,,,,,,,,,,Animals; Gene Regulatory Networks/*physiology; Humans; MicroRNAs/*physiology; Neurofibromatosis 1/*genetics/*metabolism/pathology; Signal Transduction/genetics; Systems Biology/*methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brain,9EXPBZ6J,journalArticle,2011,"Chandrasekaran, Sriram; Ament, Seth A.; Eddy, James A.; Rodriguez-Zas, Sandra L.; Schatz, Bruce R.; Price, Nathan D.; Robinson, Gene E.",Behavior-specific changes in transcriptional modules lead to distinct and predictable neurogenomic states.,Proceedings of the National Academy of Sciences of the United States of America,,,http://dx.doi.org/10.1073/pnas.1114093108,,"Using brain transcriptomic profiles from 853 individual honey bees exhibiting 48 distinct behavioral phenotypes in naturalistic contexts, we report that behavior-specific neurogenomic states can be inferred from the coordinated action of transcription factors (TFs) and their predicted target genes. Unsupervised hierarchical clustering of these transcriptomic profiles showed three clusters that correspond to three ecologically important behavioral categories: aggression, maturation, and foraging. To explore the genetic influences potentially regulating these behavior-specific neurogenomic states, we reconstructed a brain transcriptional regulatory network (TRN) model. This brain TRN quantitatively predicts with high accuracy gene expression changes of more than 2,000 genes involved in behavior, even for behavioral phenotypes on which it was not trained, suggesting that there is a core set of TFs that regulates behavior-specific gene expression in the bee brain, and other TFs more specific to particular categories. TFs playing key roles in the TRN include well-known regulators of neural and behavioral plasticity, e.g., Creb, as well as TFs better known in other biological contexts, e.g., NF-kappaB (immunity). Our results reveal three insights concerning the relationship between genes and behavior. First, distinct behaviors are subserved by distinct neurogenomic states in the brain. Second, the neurogenomic states underlying different behaviors rely upon both shared and distinct transcriptional modules. Third, despite the complexity of the brain, simple linear relationships between TFs and their putative target genes are a surprisingly prominent feature of the networks underlying behavior.",11/1/11,2/8/16 23:45,2/9/16 0:19,,18020-18025,,44,108,,"PNAS, Proceedings of the National Academy of Sciences",,,,,,,,eng,,,,,,,,,,,"*Behavior; *Genomics; *Transcription, Genetic; Animals; Bees/physiology; Brain/metabolism",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brain,AD28V8H4,journalArticle,2010,"Lee, H. J.; Suk, J. E.; Patrick, C.; Bae, E. J.; Cho, J. H.; Rho, S.; Hwang, D.; Masliah, E.; Lee, S. J.",Direct transfer of alpha-synuclein from neuron to astroglia causes inflammatory responses in synucleinopathies,The Journal of Biological Chemistry,,,http://dx.doi.org/10.1074/jbc.M109.081125,,"Abnormal neuronal aggregation of alpha-synuclein is implicated in the development of many neurological disorders, including Parkinson disease and dementia with Lewy bodies. Glial cells also show extensive alpha-synuclein pathology and may contribute to disease progression. However, the mechanism that produces the glial alpha-synuclein pathology and the interaction between neurons and glia in the disease-inflicted microenvironment remain unknown. Here, we show that alpha-synuclein proteins released from neuronal cells are taken up by astrocytes through endocytosis and form inclusion bodies. The glial accumulation of alpha-synuclein through the transmission of the neuronal protein was also demonstrated in a transgenic mouse model expressing human alpha-synuclein. Furthermore, astrocytes that were exposed to neuronal alpha-synuclein underwent changes in the gene expression profile reflecting an inflammatory response. Induction of pro-inflammatory cytokines and chemokines correlated with the extent of glial accumulation of alpha-synuclein. Together, these results suggest that astroglial alpha-synuclein pathology is produced by direct transmission of neuronal alpha-synuclein aggregates, causing inflammatory responses. This transmission step is thus an important mediator of pathogenic glial responses and could qualify as a new therapeutic target.",3/19/10,9/14/15 19:04,2/9/16 0:19,,9262-72,,12,285,,,,,,,,,,,,,,,,,,,,,alpha-Synuclein/*metabolism; Animals; Astrocytes/*metabolism; Biological; Cell Differentiation; Cell Line; Conditioned/pharmacology; Culture Media; Humans; Inflammation; Male; Mice; Models; Neurodegenerative Diseases/metabolism; Neurons/*metabolism; Rats; Sprague-Dawley; Transgenic; Tumor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brain,CIB2MN2D,journalArticle,2009,"Portis, J. L.; Askovich, P.; Austin, J.; Gutierrez-Cotto, Y.; McAtee, F. J.",The degree of folding instability of the envelope protein of a neurovirulent murine retrovirus correlates with the severity of the neurological disease,Journal of Virology,,,http://dx.doi.org/10.1128/JVI.02647-08,,"A small group of ecotropic murine retroviruses cause a spongiform neurodegenerative disease manifested by tremor, paralysis, and wasting. The neurovirulence of these viruses has long been known to be determined by the sequence of the viral envelope protein, although the nature of the neurotoxicity remains to be clarified. Studies on the neurovirulent viruses FrCas(NC) and Moloney murine leukemia virus ts1 indicate that the nascent envelope protein misfolds, is retained in the endoplasmic reticulum (ER), and induces an unfolded protein response. In the present study we constructed a series of viruses with chimeric envelope genes containing segments from virulent and avirulent retroviruses. Each of the viruses studied was highly neuroinvasive but differed in the severity of the neurological disease they induced. Only viruses that contained the receptor-binding domain (RBD) of the neurovirulent virus induced neurological disease. Likewise, only viruses containing the RBD of the neurovirulent virus exhibited increased binding of the ER chaperone BiP to the envelope precursor protein and induced the unfolded protein response. Thus, the RBD determined both neurovirulence and folding instability. Among viruses carrying the neurovirulent RBD, the severity of the disease was increased when envelope sequences from the neurovirulent virus outside the RBD were also present. Interestingly, these sequences appeared to further increase the degree of folding instability (BiP binding) of the viral envelope protein. These results provide strong support for the hypothesis that this spongiform neurodegenerative disease represents a virus-induced protein folding disorder.",2009-06,9/14/15 19:03,2/9/16 0:19,,6079-86,,12,83,,,,,,,,,,,,,,,,,,,,,*Protein Folding; Animals; Endoplasmic Reticulum/metabolism; Inbred Strains; Mice; Neurodegenerative Diseases/*virology; NIH 3T3 Cells; Retroviridae/genetics/*pathogenicity; Retroviridae Infections/*virology; RNA; Viral Envelope Proteins/genetics/*metabolism; Viral/metabolism; Virulence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brain,D94VUTES,journalArticle,2010,"Pfenning, A. R.; Kim, T. K.; Spotts, J. M.; Hemberg, M.; Su, D.; West, A. E.",Genome-wide identification of calcium-response factor (CaRF) binding sites predicts a role in regulation of neuronal signaling pathways,PLOS One,,,http://dx.doi.org/10.1371/journal.pone.0010870,,"Calcium-Response Factor (CaRF) was first identified as a transcription factor based on its affinity for a neuronal-selective calcium-response element (CaRE1) in the gene encoding Brain-Derived Neurotrophic Factor (BDNF). However, because CaRF shares no homology with other transcription factors, its properties and gene targets have remained unknown. Here we show that the DNA binding domain of CaRF has been highly conserved across evolution and that CaRF binds DNA directly in a sequence-specific manner in the absence of other eukaryotic cofactors. Using a binding site selection screen we identify a high-affinity consensus CaRF response element (cCaRE) that shares significant homology with the CaRE1 element of Bdnf. In a genome-wide chromatin immunoprecipitation analysis (ChIP-Seq), we identified 176 sites of CaRF-specific binding (peaks) in neuronal genomic DNA. 128 of these peaks are within 10kB of an annotated gene, and 60 are within 1kB of an annotated transcriptional start site. At least 138 of the CaRF peaks contain a common 10-bp motif with strong statistical similarity to the cCaRE, and we provide evidence predicting that CaRF can bind independently to at least 64.5% of these motifs in vitro. Analysis of this set of putative CaRF targets suggests the enrichment of genes that regulate intracellular signaling cascades. Finally we demonstrate that expression of a subset of these target genes is altered in the cortex of Carf knockout (KO) mice. Together these data strongly support the characterization of CaRF as a unique transcription factor and provide the first insight into the program of CaRF-regulated transcription in neurons.",2010,9/14/15 19:04,2/9/16 0:19,,e10870,,5,5,,,,,,,,,,,,,,,,,,,,,*Signal Transduction; Amino Acid Motifs; Amino Acid Sequence; Animals; Base Sequence; Binding Sites; Chromatin Immunoprecipitation; Consensus Sequence/genetics; Conserved Sequence/genetics; DNA-Binding Proteins/chemistry/genetics/metabolism; Evolution; Genetic; Genome/*genetics; Knockout; Mice; Molecular; Molecular Sequence Data; Neurons/*metabolism; Protein Binding; Transcription; Transcription Factors/chemistry/genetics/*metabolism; Transcription Initiation Site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brain,I7P2TCU7,journalArticle,2012,"Kolodkin, Alexey; Simeonidis, Evangelos; Balling, Rudi; Westerhoff, Hans V.",Understanding complexity in neurodegenerative diseases: in silico reconstruction of emergence.,Frontiers in Physiology,,,http://dx.doi.org/10.3389/fphys.2012.00291,,"Healthy functioning is an emergent property of the network of interacting biomolecules that comprise an organism. It follows that disease (a network shift that causes malfunction) is also an emergent property, emerging from a perturbation of the network. On the one hand, the biomolecular network of every individual is unique and this is evident when similar disease-producing agents cause different individual pathologies. Consequently, a personalized model and approach for every patient may be required for therapies to become effective across mankind. On the other hand, diverse combinations of internal and external perturbation factors may cause a similar shift in network functioning. We offer this as an explanation for the multi-factorial nature of most diseases: they are ""systems biology diseases,"" or ""network diseases."" Here we use neurodegenerative diseases, like Parkinson's disease (PD), as an example to show that due to the inherent complexity of these networks, it is difficult to understand multi-factorial diseases with simply our ""naked brain."" When describing interactions between biomolecules through mathematical equations and integrating those equations into a mathematical model, we try to reconstruct the emergent properties of the system in silico. The reconstruction of emergence from interactions between huge numbers of macromolecules is one of the aims of systems biology. Systems biology approaches enable us to break through the limitation of the human brain to perceive the extraordinarily large number of interactions, but this also means that we delegate the understanding of reality to the computer. We no longer recognize all those essences in the system's design crucial for important physiological behavior (the so-called ""design principles"" of the system). In this paper we review evidence that by using more abstract approaches and by experimenting in silico, one may still be able to discover and understand the design principles that govern behavioral emergence.",2012,2/8/16 23:58,2/9/16 0:19,,,,,3,,Front Physiol,,,,,,,,eng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brain,NMK3QDFG,journalArticle,2015,"Chandrasekaran, S.; Rittschof, C. C.; Djukovic, D.; Gu, H.; Raftery, D.; Price, N. D.; Robinson, G. E.",Aggression is associated with aerobic glycolysis in the honey bee brain,"Genes, Brain, and Behavior",,,http://dx.doi.org/10.1111/gbb.12201,,"Aerobic glycolysis involves increased glycolysis and decreased oxidative catabolism of glucose even in the presence of an ample oxygen supply. Aerobic glycolysis, a common metabolic pattern in cancers cells, was recently discovered in both the healthy and diseased human brain, but its functional significance is not understood. This metabolic pattern in the brain is surprising because it results in decreased efficiency of adenosine triphosphate (ATP) production in a tissue with high energetic demands. We report that highly aggressive honey bees (Apis mellifera) show a brain transcriptomic and metabolic state consistent with aerobic glycolysis, i.e. increased glycolysis in combination with decreased oxidative phosphorylation. Furthermore, exposure to alarm pheromone, which provokes aggression, causes a metabolic shift to aerobic glycolysis in the bee brain. We hypothesize that this metabolic state, which is associated with altered neurotransmitter levels, increased glycolytically derived ATP and a reduced cellular redox state, may lead to increased neuronal excitability and oxidative stress in the brain. Our analysis provides evidence for a robust, distinct and persistent brain metabolic response to aggression-inducing social cues. This finding for the first time associates aerobic glycolysis with naturally occurring behavioral plasticity, which has important implications for understanding both healthy and diseased brain function.",1/30/15,9/14/15 19:04,2/9/16 0:19,,158-166,,2,14,,Genes Brain Behav,,,,,,,,eng,(c) 2015 John Wiley & Sons Ltd and International Behavioural and Neural Genetics Society.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brain,NQFVAK7C,journalArticle,2001,"Terskikh, A. V.; Easterday, M. C.; Li, L.; Hood, L.; Kornblum, H. I.; Geschwind, D. H.; Weissman, I. L.",From hematopoiesis to neuropoiesis: evidence of overlapping genetic programs,Proceedings of the National Academy of Sciences,,,http://dx.doi.org/10.1073/pnas.131200898,,"It is reasonable to propose that gene expression profiles of purified stem cells could give clues for the molecular mechanisms of stem cell behavior. We took advantage of cDNA subtraction to identify a set of genes selectively expressed in mouse adult hematopoietic stem cells (HSC) as opposed to bone marrow (BM). Analysis of HSC-enriched genes revealed several key regulatory gene candidates, including two novel seven transmembrane (7TM) receptors. Furthermore, by using cDNA microarray techniques we found a large set of HSC-enriched genes that are expressed in mouse neurospheres (a population greatly enriched for neural progenitor cells), but not present in terminally differentiated neural cells. In situ hybridization demonstrated that many of them, including one HSC-enriched 7TM receptor, were selectively expressed in the germinal zones of fetal and adult brain, the regions harboring mouse neural stem cells. We propose that at least some of the transcripts that are selectively and commonly expressed in two or more types of stem cells define a functionally conserved group of genes evolved to participate in basic stem cell functions, including stem cell self-renewal.",7/3/01,9/14/15 19:01,2/9/16 0:19,,7934-9,,14,98,,,,,,,,,,,,,,,,,,,,,Animals; Cell Differentiation/genetics; Cell Lineage/genetics; Gene Expression Regulation; Hematopoiesis/physiology; Hematopoietic Stem Cells/ physiology; Mice; Molecular Sequence Data; Neurons/cytology/physiology; Stem Cells/ physiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brain,PANCHQEQ,journalArticle,2014,"Lausted, Christopher; Lee, Inyoul; Zhou, Yong; Qin, Shizhen; Sung, Jaeyun; Price, Nathan D.; Hood, Leroy; Wang, Kai",Systems approach to neurodegenerative disease biomarker discovery,Annual Review of Pharmacology and Toxicology,,1545-4304,http://dx.doi.org/10.1146/annurev-pharmtox-011613-135928,,"Biomarkers are essential for performing early diagnosis, monitoring neurodegenerative disease progression, gauging responses to therapies, and stratifying neurodegenerative diseases into their different subtypes. A wide range of molecular markers are under investigation in tissues and biofluids as well as through imaging; moreover, many are prominent proteins present in cerebrospinal fluid. However, in more frequently and easily collected fluids such as plasma, these proteins show only a modest correlation with disease and thus lack the necessary sensitivity or specificity for clinical use. High-throughput and quantitative proteomic technologies and systems-driven approaches to biofluid analysis are now being utilized in the search for better biomarkers. Biomarker discovery involves many critical steps including study design, sample preparation, protein and peptide separation and identification, and bioinformatics and data integration issues that must be carefully controlled before independent confirmation and validation. In this review, we summarize current proteomic and nucleic acid technologies involved in the discovery of biomarkers of neurodegenerative diseases, particularly Alzheimer's, Parkinson's, Huntington's, and prion diseases.",2014,2/5/16 22:14,2/9/16 0:19,,457-481,,,54,,Annu. Rev. Pharmacol. Toxicol.,,,,,,,,eng,,,,,PubMed,,PMID: 24160693,,,,,"Animals; Biomarkers; Disease Models, Animal; Humans; Neurodegenerative Diseases; Proteomics; Systems Biology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brain,QJ7AX383,journalArticle,2013,"Ko, Younhee; Ament, Seth A.; Eddy, James A.; Caballero, Juan; Earls, John C.; Hood, Leroy; Price, Nathan D.",Cell type-specific genes show striking and distinct patterns of spatial expression in the mouse brain.,Proceedings of the National Academy of Sciences of the United States of America,,,http://dx.doi.org/10.1073/pnas.1222897110,,"To characterize gene expression patterns in the regional subdivisions of the mammalian brain, we integrated spatial gene expression patterns from the Allen Brain Atlas for the adult mouse with panels of cell type-specific genes for neurons, astrocytes, and oligodendrocytes from previously published transcriptome profiling experiments. We found that the combined spatial expression patterns of 170 neuron-specific transcripts revealed strikingly clear and symmetrical signatures for most of the brain's major subdivisions. Moreover, the brain expression spatial signatures correspond to anatomical structures and may even reflect developmental ontogeny. Spatial expression profiles of astrocyte- and oligodendrocyte-specific genes also revealed regional differences; these defined fewer regions and were less distinct but still symmetrical in the coronal plane. Follow-up analysis suggested that region-based clustering of neuron-specific genes was related to (i) a combination of individual genes with restricted expression patterns, (ii) region-specific differences in the relative expression of functional groups of genes, and (iii) regional differences in neuronal density. Products from some of these neuron-specific genes are present in peripheral blood, raising the possibility that they could reflect the activities of disease- or injury-perturbed networks and collectively function as biomarkers for clinical disease diagnostics.",2/19/13,2/8/16 23:58,2/9/16 0:19,,3095-3100,,8,110,,"PNAS, Proceedings of the National Academy of Sciences",,,,,,,,eng,,,,,,,,,,,*Gene Expression Profiling; Animals; Biological Markers/metabolism; Brain/cytology/*metabolism; In Situ Hybridization; Mice; Neurons/metabolism; Transcriptome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
