Word,Year,Count
Proteomics,2015,6760
Proteomics,2014,6427
Proteomics,2013,5560
Proteomics,2012,5568
Proteomics,2011,5133
Proteomics,2010,4682
Proteomics,2009,4390
Proteomics,2008,4046
Proteomics,2007,3762
Proteomics,2006,3522
Proteomics,2005,3087
Proteomics,2004,2417
Proteomics,2003,1666
Proteomics,2002,1040
Proteomics,2001,519
Proteomics,2000,219
Bioinformatics,2015,24064
Bioinformatics,2014,22322
Bioinformatics,2013,17717
Bioinformatics,2012,16609
Bioinformatics,2011,15091
Bioinformatics,2010,13463
Bioinformatics,2009,12083
Bioinformatics,2008,10906
Bioinformatics,2007,9977
Bioinformatics,2006,8901
Bioinformatics,2005,8191
Bioinformatics,2004,6424
Bioinformatics,2003,4689
Bioinformatics,2002,3284
Bioinformatics,2001,2231
Bioinformatics,2000,1505
Computational Biology,2015,16359
Computational Biology,2014,16380
Computational Biology,2013,14222
Computational Biology,2012,13690
Computational Biology,2011,12422
Computational Biology,2010,11255
Computational Biology,2009,10359
Computational Biology,2008,8746
Computational Biology,2007,7735
Computational Biology,2006,6984
Computational Biology,2005,6470
Computational Biology,2004,5032
Computational Biology,2003,3560
Computational Biology,2002,2635
Computational Biology,2001,1897
Computational Biology,2000,1245
Genome Wide Association Study,2015,3420
Genome Wide Association Study,2014,3318
Genome Wide Association Study,2013,3341
Genome Wide Association Study,2012,3167
Genome Wide Association Study,2011,3160
Genome Wide Association Study,2010,2669
Genome Wide Association Study,2009,1866
Genome Wide Association Study,2008,572
Genome Wide Association Study,2007,240
Genome Wide Association Study,2006,135
Genome Wide Association Study,2005,141
Genome Wide Association Study,2004,71
Genome Wide Association Study,2003,52
Genome Wide Association Study,2002,38
Genome Wide Association Study,2001,25
Genome Wide Association Study,2000,18
Personalized Medicine ,2015,5332
Personalized Medicine ,2014,4281
Personalized Medicine ,2013,3119
Personalized Medicine ,2012,2721
Personalized Medicine ,2011,1962
Personalized Medicine ,2010,1658
Personalized Medicine ,2009,1017
Personalized Medicine ,2008,748
Personalized Medicine ,2007,622
Personalized Medicine ,2006,462
Personalized Medicine ,2005,450
Personalized Medicine ,2004,392
Personalized Medicine ,2003,324
Personalized Medicine ,2002,288
Personalized Medicine ,2001,234
Personalized Medicine ,2000,200
Systems Biology,2015,11955
Systems Biology,2014,10153
Systems Biology,2013,6879
Systems Biology,2012,6424
Systems Biology,2011,5773
Systems Biology,2010,5242
Systems Biology,2009,4703
Systems Biology,2008,4181
Systems Biology,2007,3665
Systems Biology,2006,3115
Systems Biology,2005,2821
Systems Biology,2004,2297
Systems Biology,2003,1859
Systems Biology,2002,1688
Systems Biology,2001,1373
Systems Biology,2000,1246
Single Nucleotide Protein,2015,5628
Single Nucleotide Protein,2014,6105
Single Nucleotide Protein,2013,5892
Single Nucleotide Protein,2012,5474
Single Nucleotide Protein,2011,4907
Single Nucleotide Protein,2010,4271
Single Nucleotide Protein,2009,3885
Single Nucleotide Protein,2008,3310
Single Nucleotide Protein,2007,2733
Single Nucleotide Protein,2006,2266
Single Nucleotide Protein,2005,1933
Single Nucleotide Protein,2004,1486
Single Nucleotide Protein,2003,1120
Single Nucleotide Protein,2002,979
Single Nucleotide Protein,2001,855
Single Nucleotide Protein,2000,696
