id,Institution,Minute Index,Date,Hour,Minute,Motivation,Sessions,Session Duration,Pageviews,Pages / Session,Landing Page,User Type,Traffic Type,Operating System,City,Region,Country
1,AGO,1251,20151130,20,51,Explorer,3,0:15:16,8,2.67,/home?_sp=304b39e3212c5456.1448934665404,New Visitor,direct,Windows,Toronto,Ontario,Canada
2,AGO,1253,20151130,20,53,Explorer,0,0:00:00,8,0,/home?_sp=304b39e3212c5456.1448934665404,New Visitor,direct,Windows,Toronto,Ontario,Canada
3,AGO,1254,20151130,20,54,Explorer,0,0:00:00,6,0,/home?_sp=304b39e3212c5456.1448934665404,New Visitor,direct,Windows,Toronto,Ontario,Canada
4,AGO,1256,20151130,20,56,Explorer,0,0:00:00,3,0,/home?_sp=304b39e3212c5456.1448934665404,New Visitor,direct,Windows,Toronto,Ontario,Canada
5,AGO,2119,20151201,11,19,Explorer,3,1:04:42,14,4.67,/visit?cluid=catharine_chen@hotmail.com,Returning Visitor,email,Windows,Toronto,Ontario,Canada
6,AGO,2123,20151201,11,23,Explorer,0,0:00:00,11,0,/visit?cluid=catharine_chen@hotmail.com,Returning Visitor,email,Windows,Toronto,Ontario,Canada
7,AGO,2124,20151201,11,24,Explorer,0,0:00:00,8,0,/visit?cluid=catharine_chen@hotmail.com,Returning Visitor,email,Windows,Toronto,Ontario,Canada
8,AGO,2125,20151201,11,25,Explorer,0,0:00:00,3,0,/visit?cluid=catharine_chen@hotmail.com,Returning Visitor,email,Windows,Toronto,Ontario,Canada
9,AGO,2127,20151201,11,27,Explorer,0,0:00:00,8,0,/visit?cluid=catharine_chen@hotmail.com,Returning Visitor,email,Windows,Toronto,Ontario,Canada
10,AGO,2128,20151201,11,28,Explorer,0,0:00:00,6,0,/visit?cluid=catharine_chen@hotmail.com,Returning Visitor,email,Windows,Toronto,Ontario,Canada
11,AGO,2129,20151201,11,29,Explorer,0,0:00:00,6,0,/visit?cluid=catharine_chen@hotmail.com,Returning Visitor,email,Windows,Toronto,Ontario,Canada
12,AGO,2131,20151201,11,31,Explorer,0,0:00:00,6,0,/visit?cluid=catharine_chen@hotmail.com,Returning Visitor,email,Windows,Toronto,Ontario,Canada
13,AGO,2132,20151201,11,32,Explorer,0,0:00:00,3,0,/visit?cluid=catharine_chen@hotmail.com,Returning Visitor,email,Windows,Toronto,Ontario,Canada
14,AGO,2133,20151201,11,33,Explorer,0,0:00:00,8,0,/visit?cluid=catharine_chen@hotmail.com,Returning Visitor,email,Windows,Toronto,Ontario,Canada
15,AGO,2135,20151201,11,35,Explorer,0,0:00:00,3,0,/visit?cluid=catharine_chen@hotmail.com,Returning Visitor,email,Windows,Toronto,Ontario,Canada
16,AGO,2138,20151201,11,38,Explorer,0,0:00:00,6,0,/visit?cluid=catharine_chen@hotmail.com,Returning Visitor,email,Windows,Toronto,Ontario,Canada
17,AGO,2141,20151201,11,41,Explorer,0,0:00:00,8,0,/visit?cluid=catharine_chen@hotmail.com,Returning Visitor,email,Windows,Toronto,Ontario,Canada
18,AGO,2142,20151201,11,42,Explorer,0,0:00:00,6,0,/visit?cluid=catharine_chen@hotmail.com,Returning Visitor,email,Windows,Toronto,Ontario,Canada
19,AGO,2277,20151201,13,57,Explorer,3,1:50:51,6,2,/home,Returning Visitor,organic,Windows,Toronto,Ontario,Canada
20,AGO,2278,20151201,13,58,Explorer,0,0:00:00,6,0,/home,Returning Visitor,organic,Windows,Toronto,Ontario,Canada
21,AGO,2280,20151201,14,0,Explorer,0,0:00:00,3,0,/home,Returning Visitor,organic,Windows,Toronto,Ontario,Canada
22,AGO,2281,20151201,14,1,Explorer,0,0:00:00,3,0,/home,Returning Visitor,organic,Windows,Toronto,Ontario,Canada
23,AGO,2305,20151201,14,25,Explorer,0,0:00:00,6,0,/home,Returning Visitor,organic,Windows,Toronto,Ontario,Canada
24,AGO,2308,20151201,14,28,Explorer,0,0:00:00,11,0,/home,Returning Visitor,organic,Windows,Toronto,Ontario,Canada
25,AGO,2317,20151201,14,37,Explorer,0,0:00:00,6,0,/home,Returning Visitor,organic,Windows,Toronto,Ontario,Canada
26,AGO,5006,20151203,11,26,Explorer,3,0:03:22,3,1,/fridaynights,New Visitor,direct,Android,Toronto,Ontario,Canada
27,AGO,5007,20151203,11,27,Explorer,0,0:00:00,3,0,/fridaynights,New Visitor,direct,Android,Toronto,Ontario,Canada
28,AGO,6309,20151204,9,9,Explorer,3,0:12:19,3,1,/turner-illustration,New Visitor,direct,Windows,Sault Ste. Marie,Ontario,Canada
29,AGO,6314,20151204,9,14,Explorer,0,0:00:00,3,0,/turner-illustration,New Visitor,direct,Windows,Sault Ste. Marie,Ontario,Canada
30,AGO,6671,20151204,15,11,Explorer,3,0:03:59,3,1,/home,New Visitor,direct,Windows,Toronto,Ontario,Canada
31,AGO,6672,20151204,15,12,Explorer,0,0:00:00,8,0,/home,New Visitor,direct,Windows,Toronto,Ontario,Canada
32,AGO,6673,20151204,15,13,Explorer,0,0:00:00,3,0,/home,New Visitor,direct,Windows,Toronto,Ontario,Canada
33,AGO,6957,20151204,19,57,Explorer,3,0:39:24,3,1,/turner-illustration,New Visitor,video,iOS,New Albany,Indiana,United States
34,AGO,6962,20151204,20,2,Explorer,0,0:00:00,3,0,/turner-illustration,New Visitor,video,iOS,New Albany,Indiana,United States
35,AGO,6968,20151204,20,8,Explorer,0,0:00:00,6,0,/turner-illustration,New Visitor,video,iOS,New Albany,Indiana,United States
36,AGO,6971,20151204,20,11,Explorer,0,0:00:00,6,0,/turner-illustration,New Visitor,video,iOS,New Albany,Indiana,United States
37,AGO,8135,20151205,15,35,Explorer,3,0:05:40,3,1,/turner-the-innovator,Returning Visitor,video,Windows,Medina,New York,United States
38,AGO,8137,20151205,15,37,Explorer,0,0:00:00,6,0,/turner-the-innovator,Returning Visitor,video,Windows,Medina,New York,United States
39,AGO,8360,20151205,19,20,Explorer,3,0:10:38,8,2.67,/j-m-w-turner-painting-set-free,New Visitor,organic,Windows,Toronto,Ontario,Canada
40,AGO,8364,20151205,19,24,Explorer,0,0:00:00,3,0,/j-m-w-turner-painting-set-free,New Visitor,organic,Windows,Toronto,Ontario,Canada
41,AGO,8616,20151205,23,36,Explorer,3,0:18:11,6,2,/j-m-w-turner-painting-set-free,New Visitor,organic,Macintosh,Toronto,Ontario,Canada
