Keyword,Year,Number of Publications
Proteomics,2016,4711
Proteomics,2015,6760
Proteomics,2014,6427
Proteomics,2013,5560
Proteomics,2012,5568
Proteomics,2011,5133
Proteomics,2010,4682
Proteomics,2009,4390
Proteomics,2008,4046
Proteomics,2007,3762
Proteomics,2006,3522
Proteomics,2005,3087
Proteomics,2004,2417
Proteomics,2003,1666
Proteomics,2002,1040
Proteomics,2001,519
Proteomics,2000,219
Proteomics,1999,59
Proteomics,1998,22
Proteomics,1997,1
Bioinformatics,2016,12990
Bioinformatics,2015,24064
Bioinformatics,2014,22322
Bioinformatics,2013,17717
Bioinformatics,2012,16609
Bioinformatics,2011,15091
Bioinformatics,2010,13463
Bioinformatics,2009,12083
Bioinformatics,2008,10906
Bioinformatics,2007,9977
Bioinformatics,2006,8901
Bioinformatics,2005,8191
Bioinformatics,2004,6424
Bioinformatics,2003,4689
Bioinformatics,2002,3284
Bioinformatics,2001,2231
Bioinformatics,2000,1505
Bioinformatics,1999,834
Bioinformatics,1998,679
Bioinformatics,1997,344
Bioinformatics,1996,301
Bioinformatics,1995,196
Bioinformatics,1994,166
Bioinformatics,1993,181
Bioinformatics,1992,163
Bioinformatics,1991,196
Bioinformatics,1990,125
Bioinformatics,1989,58
Bioinformatics,1988,11
Bioinformatics,1987,10
Bioinformatics,1986,3
Bioinformatics,1984,1
Bioinformatics,1965,1
Bioinformatics,1964,3
Bioinformatics,1963,2
Bioinformatics,1962,1
Bioinformatics,1961,1
Bioinformatics,1960,1
Bioinformatics,1959,1
Bioinformatics,1958,2
Computational Biology,2016,5230
Computational Biology,2015,16359
Computational Biology,2014,16380
Computational Biology,2013,14222
Computational Biology,2012,13690
Computational Biology,2011,12422
Computational Biology,2010,11255
Computational Biology,2009,10359
Computational Biology,2008,8746
Computational Biology,2007,7735
Computational Biology,2006,6984
Computational Biology,2005,6470
Computational Biology,2004,5032
Computational Biology,2003,3560
Computational Biology,2002,2635
Computational Biology,2001,1897
Computational Biology,2000,1245
Computational Biology,1999,626
Computational Biology,1998,546
Computational Biology,1997,297
Computational Biology,1996,273
Computational Biology,1995,184
Computational Biology,1994,154
Computational Biology,1993,175
Computational Biology,1992,162
Computational Biology,1991,195
Computational Biology,1990,124
Computational Biology,1989,56
Computational Biology,1988,11
Computational Biology,1987,7
Computational Biology,1986,3
Computational Biology,1984,1
Computational Biology,1965,1
Computational Biology,1964,3
Computational Biology,1963,2
Computational Biology,1962,1
Computational Biology,1961,1
Computational Biology,1960,1
Computational Biology,1959,1
Computational Biology,1958,2
Multiscale,2016,747
Multiscale,2015,890
Multiscale,2014,720
Multiscale,2013,583
Multiscale,2012,551
Multiscale,2011,466
Multiscale,2010,361
Multiscale,2009,361
Multiscale,2008,252
Multiscale,2007,219
Multiscale,2006,203
Multiscale,2005,138
Multiscale,2004,78
Multiscale,2003,65
Multiscale,2002,58
Multiscale,2001,39
Multiscale,2000,40
Multiscale,1999,32
Multiscale,1998,24
Multiscale,1997,18
Multiscale,1996,20
Multiscale,1995,16
Multiscale,1994,8
Multiscale,1993,2
Multiscale,1992,1
Multiscale,1991,3
Multiscale,1990,3
Multiscale,1988,4
Multiscale,1987,2
Multiscale,1986,2
Multiscale,1985,1
Multiscale,1979,1
Genome Wide Association Study,2016,1688
Genome Wide Association Study,2015,3420
Genome Wide Association Study,2014,3318
Genome Wide Association Study,2013,3341
Genome Wide Association Study,2012,3167
Genome Wide Association Study,2011,3160
Genome Wide Association Study,2010,2669
Genome Wide Association Study,2009,1866
Genome Wide Association Study,2008,572
Genome Wide Association Study,2007,240
Genome Wide Association Study,2006,135
Genome Wide Association Study,2005,141
Genome Wide Association Study,2004,71
Genome Wide Association Study,2003,52
Genome Wide Association Study,2002,38
Genome Wide Association Study,2001,25
Genome Wide Association Study,2000,18
Genome Wide Association Study,1999,11
Genome Wide Association Study,1998,8
Genome Wide Association Study,1997,2
Genome Wide Association Study,1996,4
Genome Wide Association Study,1995,4
Genome Wide Association Study,1994,1
Genome Wide Association Study,1993,1
Genome Wide Association Study,1990,1
Personalized Medicine ,2016,4416
Personalized Medicine ,2015,5332
