year,count
2016,8327
2015,11879
2014,10151
2013,6873
2012,6422
2011,5773
2010,5242
2009,4703
2008,4181
2007,3664
2006,3115
2005,2821
2004,2296
2003,1859
2002,1688
2001,1373
2000,1248
1999,1095
1998,1062
1997,839
1996,769
1995,720
1994,716
1993,667
1992,617
1991,539
1990,519
1989,458
1988,446
1987,207
1986,91
1985,74
1984,67
1983,51
1982,48
1981,40
1980,54
1979,59
1978,47
1977,32
1976,46
1975,40
1974,24
1973,20
1972,26
1971,26
1970,22
1969,25
1968,32
1967,18
1966,20
1965,11
1964,12
1963,13
1962,4
1961,5
1960,3
1957,2
1951,3
1950,1
1949,2
1948,1
1945,1

