Title,Catalog Title,Identifier,Description,Subjects,Creator,Neighborhood,Date,Decade,Publisher,Publisher Location (NDNP),Volume,Issue,Volume/Issue,Edition Label,Notes,Physical Measurements,Digitization Specifications,File Format,Collection,Contributing Institution,Rights and Reproduction,Copyright Status,Type,Local Type,Source,Digital Tech,Language,Title [NDNP],LCCN,Pages,Directory Name,File Name,OCLC number,Date created,Date modified,Reference URL,CONTENTdm number,CONTENTdm file name,CONTENTdm file path,CONTENTdm number,CONTENTdm file name,Fullsize,Medium
"Jewish Transcript v. 1, no. 1, Mar. 6, 1924",The Jewish Transcript,spl_jt_3018328_01_01,,"Seattle (Wash.)--Newspapers; Jewish Newspapers--Northwest, Pacific; Jewish Newspapers--Washington (State)--Seattle; Jews--Washington (State)--Seattle",Jewish Federation and Council of Greater Seattle,,03/06/1924,1920-1929,Jewish Federation and Council of Greater Seattle,"Seattle, Wash.",1,1,1001,,,17 x 12 in,"Master image scanned by Small Town Papers (ArchiveInABox) with Zeutschel Omniscan 11 (ImageGear Version: 15.03) to 300 dpi, 8-bit grayscale, uncompressed TIF. Photoshop used to convert master image to JPEG format. Master file size: 154,129,669 bytes [10 files].",image/jpeg,Jewish Transcript,The Seattle Public Library,"For information about rights and reproduction, visit http://cdm16118.contentdm.oclc.org/cdm/rights",Digitized with permission of copyright owner.,Text,Periodicals,http://seattle.bibliocommons.com/item/show/3018328030_the_jewish_transcript,JMD,eng,"Jewish Transcript (Seattle, Wash.)",sn90099710,10,X:\spcOnline\uploadImages\jt_uploadImages\1924,,,11/8/15,11/8/15,http://cdm16118.contentdm.oclc.org:80/cdm/ref/collection/p16118coll10/id/10,10,11.cpd,/p16118coll10/image/11.cpd,0,1.jpg,http://cdm16118.contentdm.oclc.org/utils/getdownloaditem/collection/p16118coll10/id/10/type/compoundobject/show/0/cpdtype/document/filename/1.jpg/width/3407/height/5046/mapsto/image/filesize/1741907/title/p01/size/fullSize,http://cdm16118.contentdm.oclc.org/utils/getdownloaditem/collection/p16118coll10/id/10/type/compoundobject/show/0/cpdtype/document/filename/1.jpg/width/3407/height/5046/mapsto/image/filesize/1741907/title/p01/size/medium
"Jewish Transcript v. 1, no. 2, Mar. 18, 1924",The Jewish Transcript,spl_jt_3018328_01_02,,"Seattle (Wash.)--Newspapers; Jewish Newspapers--Northwest, Pacific; Jewish Newspapers--Washington (State)--Seattle; Jews--Washington (State)--Seattle",Jewish Federation and Council of Greater Seattle,,03/18/1924,1920-1929,Jewish Federation and Council of Greater Seattle,"Seattle, Wash.",1,2,1002,,,17 x 12 in,"Master image scanned by Small Town Papers (ArchiveInABox) with Zeutschel Omniscan 11 (ImageGear Version: 15.03) to 300 dpi, 8-bit grayscale, uncompressed TIF. Photoshop used to convert master image to JPEG format. Master file size: 138,215,876 bytes [8 files].",image/jpeg,Jewish Transcript,The Seattle Public Library,"For information about rights and reproduction, visit http://cdm16118.contentdm.oclc.org/cdm/rights",Digitized with permission of copyright owner.,Text,Periodicals,http://seattle.bibliocommons.com/item/show/3018328030_the_jewish_transcript,JMD,eng,"Jewish Transcript (Seattle, Wash.)",sn90099710,8,X:\spcOnline\uploadImages\jt_uploadImages\1924,,,11/8/15,11/8/15,http://cdm16118.contentdm.oclc.org:80/cdm/ref/collection/p16118coll10/id/19,19,20.cpd,/p16118coll10/image/20.cpd,11,12.jpg,http://cdm16118.contentdm.oclc.org/utils/getdownloaditem/collection/p16118coll10/id/19/type/compoundobject/show/11/cpdtype/document/filename/12.jpg/width/3407/height/5046/mapsto/image/filesize/1741907/title/p01/size/fullSize,http://cdm16118.contentdm.oclc.org/utils/getdownloaditem/collection/p16118coll10/id/19/type/compoundobject/show/11/cpdtype/document/filename/12.jpg/width/3407/height/5046/mapsto/image/filesize/1741907/title/p01/size/medium
"Jewish Transcript v. 1, no. 3, Mar. 25, 1924",The Jewish Transcript,spl_jt_3018328_01_03,,"Seattle (Wash.)--Newspapers; Jewish Newspapers--Northwest, Pacific; Jewish Newspapers--Washington (State)--Seattle; Jews--Washington (State)--Seattle",Jewish Federation and Council of Greater Seattle,,03/25/1924,1920-1929,Jewish Federation and Council of Greater Seattle,"Seattle, Wash.",1,3,1003,,,17 x 12 in,"Master image scanned by Small Town Papers (ArchiveInABox) with Zeutschel Omniscan 11 (ImageGear Version: 15.03) to 300 dpi, 8-bit grayscale, uncompressed TIF. Photoshop used to convert master image to JPEG format. Master file size: 137,989,914 bytes [8 files].",image/jpeg,Jewish Transcript,The Seattle Public Library,"For information about rights and reproduction, visit http://cdm16118.contentdm.oclc.org/cdm/rights",Digitized with permission of copyright owner.,Text,Periodicals,http://seattle.bibliocommons.com/item/show/3018328030_the_jewish_transcript,JMD,eng,"Jewish Transcript (Seattle, Wash.)",sn90099710,8,X:\spcOnline\uploadImages\jt_uploadImages\1924,,,11/8/15,11/8/15,http://cdm16118.contentdm.oclc.org:80/cdm/ref/collection/p16118coll10/id/28,28,29.cpd,/p16118coll10/image/29.cpd,20,21.jpg,http://cdm16118.contentdm.oclc.org/utils/getdownloaditem/collection/p16118coll10/id/28/type/compoundobject/show/20/cpdtype/document/filename/21.jpg/width/3407/height/5046/mapsto/image/filesize/1741907/title/p01/size/fullSize,http://cdm16118.contentdm.oclc.org/utils/getdownloaditem/collection/p16118coll10/id/28/type/compoundobject/show/20/cpdtype/document/filename/21.jpg/width/3407/height/5046/mapsto/image/filesize/1741907/title/p01/size/medium
"Jewish Transcript v. 1, no. 4, Apr. 1, 1924",The Jewish Transcript,spl_jt_3018328_01_04,,"Seattle (Wash.)--Newspapers; Jewish Newspapers--Northwest, Pacific; Jewish Newspapers--Washington (State)--Seattle; Jews--Washington (State)--Seattle",Jewish Federation and Council of Greater Seattle,,04/01/1924,1920-1929,Jewish Federation and Council of Greater Seattle,"Seattle, Wash.",1,4,1004,,,17 x 12 in,"Master image scanned by Small Town Papers (ArchiveInABox) with Zeutschel Omniscan 11 (ImageGear Version: 15.03) to 300 dpi, 8-bit grayscale, uncompressed TIF. Photoshop used to convert master image to JPEG format. Master file size: 137,588,166 bytes [8 files].",image/jpeg,Jewish Transcript,The Seattle Public Library,"For information about rights and reproduction, visit http://cdm16118.contentdm.oclc.org/cdm/rights",Digitized with permission of copyright owner.,Text,Periodicals,http://seattle.bibliocommons.com/item/show/3018328030_the_jewish_transcript,JMD,eng,"Jewish Transcript (Seattle, Wash.)",sn90099710,8,X:\spcOnline\uploadImages\jt_uploadImages\1924,,,11/8/15,11/8/15,http://cdm16118.contentdm.oclc.org:80/cdm/ref/collection/p16118coll10/id/37,37,38.cpd,/p16118coll10/image/38.cpd,29,30.jpg,http://cdm16118.contentdm.oclc.org/utils/getdownloaditem/collection/p16118coll10/id/37/type/compoundobject/show/29/cpdtype/document/filename/30.jpg/width/3407/height/5046/mapsto/image/filesize/1741907/title/p01/size/fullSize,http://cdm16118.contentdm.oclc.org/utils/getdownloaditem/collection/p16118coll10/id/37/type/compoundobject/show/29/cpdtype/document/filename/30.jpg/width/3407/height/5046/mapsto/image/filesize/1741907/title/p01/size/medium
"Jewish Transcript v. 1, no. 5, Apr. 8, 1924",The Jewish Transcript,spl_jt_3018328_01_05,,"Seattle (Wash.)--Newspapers; Jewish Newspapers--Northwest, Pacific; Jewish Newspapers--Washington (State)--Seattle; Jews--Washington (State)--Seattle",Jewish Federation and Council of Greater Seattle,,04/08/1924,1920-1929,Jewish Federation and Council of Greater Seattle,"Seattle, Wash.",1,5,1005,,,17 x 12 in,"Master image scanned by Small Town Papers (ArchiveInABox) with Zeutschel Omniscan 11 (ImageGear Version: 15.03) to 300 dpi, 8-bit grayscale, uncompressed TIF. Photoshop used to convert master image to JPEG format. Master file size: 138,508,204 bytes [8 files].",image/jpeg,Jewish Transcript,The Seattle Public Library,"For information about rights and reproduction, visit http://cdm16118.contentdm.oclc.org/cdm/rights",Digitized with permission of copyright owner.,Text,Periodicals,http://seattle.bibliocommons.com/item/show/3018328030_the_jewish_transcript,JMD,eng,"Jewish Transcript (Seattle, Wash.)",sn90099710,8,X:\spcOnline\uploadImages\jt_uploadImages\1924,,,11/8/15,11/8/15,http://cdm16118.contentdm.oclc.org:80/cdm/ref/collection/p16118coll10/id/46,46,47.cpd,/p16118coll10/image/47.cpd,38,39.jpg,http://cdm16118.contentdm.oclc.org/utils/getdownloaditem/collection/p16118coll10/id/46/type/compoundobject/show/38/cpdtype/document/filename/39.jpg/width/3407/height/5046/mapsto/image/filesize/1741907/title/p01/size/fullSize,http://cdm16118.contentdm.oclc.org/utils/getdownloaditem/collection/p16118coll10/id/46/type/compoundobject/show/38/cpdtype/document/filename/39.jpg/width/3407/height/5046/mapsto/image/filesize/1741907/title/p01/size/medium
"Jewish Transcript v. 1, no. 6, Apr. 15, 1924",The Jewish Transcript,spl_jt_3018328_01_06,,"Seattle (Wash.)--Newspapers; Jewish Newspapers--Northwest, Pacific; Jewish Newspapers--Washington (State)--Seattle; Jews--Washington (State)--Seattle",Jewish Federation and Council of Greater Seattle,,04/15/1924,1920-1929,Jewish Federation and Council of Greater Seattle,"Seattle, Wash.",1,6,1006,,,17 x 12 in,"Master image scanned by Small Town Papers (ArchiveInABox) with Zeutschel Omniscan 11 (ImageGear Version: 15.03) to 300 dpi, 8-bit grayscale, uncompressed TIF. Photoshop used to convert master image to JPEG format. Master file size: 138,503,631 bytes [8 files].",image/jpeg,Jewish Transcript,The Seattle Public Library,"For information about rights and reproduction, visit http://cdm16118.contentdm.oclc.org/cdm/rights",Digitized with permission of copyright owner.,Text,Periodicals,http://seattle.bibliocommons.com/item/show/3018328030_the_jewish_transcript,JMD,eng,"Jewish Transcript (Seattle, Wash.)",sn90099710,8,X:\spcOnline\uploadImages\jt_uploadImages\1924,,,11/8/15,11/8/15,http://cdm16118.contentdm.oclc.org:80/cdm/ref/collection/p16118coll10/id/55,55,56.cpd,/p16118coll10/image/56.cpd,47,48.jpg,http://cdm16118.contentdm.oclc.org/utils/getdownloaditem/collection/p16118coll10/id/55/type/compoundobject/show/47/cpdtype/document/filename/48.jpg/width/3407/height/5046/mapsto/image/filesize/1741907/title/p01/size/fullSize,http://cdm16118.contentdm.oclc.org/utils/getdownloaditem/collection/p16118coll10/id/55/type/compoundobject/show/47/cpdtype/document/filename/48.jpg/width/3407/height/5046/mapsto/image/filesize/1741907/title/p01/size/medium
"Jewish Transcript v. 1, no. 7, Apr. 22, 1924",The Jewish Transcript,spl_jt_3018328_01_07,,"Seattle (Wash.)--Newspapers; Jewish Newspapers--Northwest, Pacific; Jewish Newspapers--Washington (State)--Seattle; Jews--Washington (State)--Seattle",Jewish Federation and Council of Greater Seattle,,04/22/1924,1920-1929,Jewish Federation and Council of Greater Seattle,"Seattle, Wash.",1,7,1007,,,17 x 12 in,"Master image scanned by Small Town Papers (ArchiveInABox) with Zeutschel Omniscan 11 (ImageGear Version: 15.03) to 300 dpi, 8-bit grayscale, uncompressed TIF. Photoshop used to convert master image to JPEG format. Master file size: 137,222,811 bytes [8 files].",image/jpeg,Jewish Transcript,The Seattle Public Library,"For information about rights and reproduction, visit http://cdm16118.contentdm.oclc.org/cdm/rights",Digitized with permission of copyright owner.,Text,Periodicals,http://seattle.bibliocommons.com/item/show/3018328030_the_jewish_transcript,JMD,eng,"Jewish Transcript (Seattle, Wash.)",sn90099710,8,X:\spcOnline\uploadImages\jt_uploadImages\1924,,,11/8/15,11/8/15,http://cdm16118.contentdm.oclc.org:80/cdm/ref/collection/p16118coll10/id/64,64,65.cpd,/p16118coll10/image/65.cpd,56,57.jpg,http://cdm16118.contentdm.oclc.org/utils/getdownloaditem/collection/p16118coll10/id/64/type/compoundobject/show/56/cpdtype/document/filename/57.jpg/width/3407/height/5046/mapsto/image/filesize/1741907/title/p01/size/fullSize,http://cdm16118.contentdm.oclc.org/utils/getdownloaditem/collection/p16118coll10/id/64/type/compoundobject/show/56/cpdtype/document/filename/57.jpg/width/3407/height/5046/mapsto/image/filesize/1741907/title/p01/size/medium
"Jewish Transcript v. 1, no. 8, Apr. 29, 1924",The Jewish Transcript,spl_jt_3018328_01_08,,"Seattle (Wash.)--Newspapers; Jewish Newspapers--Northwest, Pacific; Jewish Newspapers--Washington (State)--Seattle; Jews--Washington (State)--Seattle",Jewish Federation and Council of Greater Seattle,,04/29/1924,1920-1929,Jewish Federation and Council of Greater Seattle,"Seattle, Wash.",1,8,1008,,,17 x 12 in,"Master image scanned by Small Town Papers (ArchiveInABox) with Zeutschel Omniscan 11 (ImageGear Version: 15.03) to 300 dpi, 8-bit grayscale, uncompressed TIF. Photoshop used to convert master image to JPEG format. Master file size: 138,714,408 bytes [8 files].",image/jpeg,Jewish Transcript,The Seattle Public Library,"For information about rights and reproduction, visit http://cdm16118.contentdm.oclc.org/cdm/rights",Digitized with permission of copyright owner.,Text,Periodicals,http://seattle.bibliocommons.com/item/show/3018328030_the_jewish_transcript,JMD,eng,"Jewish Transcript (Seattle, Wash.)",sn90099710,8,X:\spcOnline\uploadImages\jt_uploadImages\1924,,,11/8/15,11/8/15,http://cdm16118.contentdm.oclc.org:80/cdm/ref/collection/p16118coll10/id/73,73,74.cpd,/p16118coll10/image/74.cpd,65,66.jpg,http://cdm16118.contentdm.oclc.org/utils/getdownloaditem/collection/p16118coll10/id/73/type/compoundobject/show/65/cpdtype/document/filename/66.jpg/width/3407/height/5046/mapsto/image/filesize/1741907/title/p01/size/fullSize,http://cdm16118.contentdm.oclc.org/utils/getdownloaditem/collection/p16118coll10/id/73/type/compoundobject/show/65/cpdtype/document/filename/66.jpg/width/3407/height/5046/mapsto/image/filesize/1741907/title/p01/size/medium
"Jewish Transcript v. 1, no. 9, May 6, 1924",The Jewish Transcript,spl_jt_3018328_01_09,,"Seattle (Wash.)--Newspapers; Jewish Newspapers--Northwest, Pacific; Jewish Newspapers--Washington (State)--Seattle; Jews--Washington (State)--Seattle",Jewish Federation and Council of Greater Seattle,,05/06/1924,1920-1929,Jewish Federation and Council of Greater Seattle,"Seattle, Wash.",1,9,1009,,,17 x 12 in,"Master image scanned by Small Town Papers (ArchiveInABox) with Zeutschel Omniscan 11 (ImageGear Version: 15.03) to 300 dpi, 8-bit grayscale, uncompressed TIF. Photoshop used to convert master image to JPEG format. Master file size: 138,482,896 bytes [8 files].",image/jpeg,Jewish Transcript,The Seattle Public Library,"For information about rights and reproduction, visit http://cdm16118.contentdm.oclc.org/cdm/rights",Digitized with permission of copyright owner.,Text,Periodicals,http://seattle.bibliocommons.com/item/show/3018328030_the_jewish_transcript,JMD,eng,"Jewish Transcript (Seattle, Wash.)",sn90099710,8,X:\spcOnline\uploadImages\jt_uploadImages\1924,,,11/8/15,11/8/15,http://cdm16118.contentdm.oclc.org:80/cdm/ref/collection/p16118coll10/id/82,82,83.cpd,/p16118coll10/image/83.cpd,74,75.jpg,http://cdm16118.contentdm.oclc.org/utils/getdownloaditem/collection/p16118coll10/id/82/type/compoundobject/show/74/cpdtype/document/filename/75.jpg/width/3407/height/5046/mapsto/image/filesize/1741907/title/p01/size/fullSize,http://cdm16118.contentdm.oclc.org/utils/getdownloaditem/collection/p16118coll10/id/82/type/compoundobject/show/74/cpdtype/document/filename/75.jpg/width/3407/height/5046/mapsto/image/filesize/1741907/title/p01/size/medium
"Jewish Transcript v. 1, no. 10, May 13, 1924",The Jewish Transcript,spl_jt_3018328_01_10,,"Seattle (Wash.)--Newspapers; Jewish Newspapers--Northwest, Pacific; Jewish Newspapers--Washington (State)--Seattle; Jews--Washington (State)--Seattle",Jewish Federation and Council of Greater Seattle,,05/13/1924,1920-1929,Jewish Federation and Council of Greater Seattle,"Seattle, Wash.",1,10,1010,,,17 x 12 in,"Master image scanned by Small Town Papers (ArchiveInABox) with Zeutschel Omniscan 11 (ImageGear Version: 15.03) to 300 dpi, 8-bit grayscale, uncompressed TIF. Photoshop used to convert master image to JPEG format. Master file size: 138,451,152 bytes [8 files].",image/jpeg,Jewish Transcript,The Seattle Public Library,"For information about rights and reproduction, visit http://cdm16118.contentdm.oclc.org/cdm/rights",Digitized with permission of copyright owner.,Text,Periodicals,http://seattle.bibliocommons.com/item/show/3018328030_the_jewish_transcript,JMD,eng,"Jewish Transcript (Seattle, Wash.)",sn90099710,8,X:\spcOnline\uploadImages\jt_uploadImages\1924,,,11/8/15,11/8/15,http://cdm16118.contentdm.oclc.org:80/cdm/ref/collection/p16118coll10/id/91,91,92.cpd,/p16118coll10/image/92.cpd,83,84.jpg,http://cdm16118.contentdm.oclc.org/utils/getdownloaditem/collection/p16118coll10/id/91/type/compoundobject/show/83/cpdtype/document/filename/84.jpg/width/3407/height/5046/mapsto/image/filesize/1741907/title/p01/size/fullSize,http://cdm16118.contentdm.oclc.org/utils/getdownloaditem/collection/p16118coll10/id/91/type/compoundobject/show/83/cpdtype/document/filename/84.jpg/width/3407/height/5046/mapsto/image/filesize/1741907/title/p01/size/medium
