Id,Name,Description,250x250 Thumbnail,Full Size Thumbnail,Comics Available,ComicName0,ComicName1,ComicName2,ComicName3,ComicName4,ComicName5,ComicName6,ComicName7,ComicName8,ComicName9,ComicName10,ComicName11,ComicName12,ComicName13,ComicName14,ComicName15,ComicName16,ComicName17,ComicName18,ComicName19,ComicName20,Stories Available,Events Available,Series Available
1011334,3-D Man,,http://i.annihil.us/u/prod/marvel/i/mg/c/e0/535fecbbb9784/standard_fantastic.jpg,http://i.annihil.us/u/prod/marvel/i/mg/c/e0/535fecbbb9784.jpg,11,Avengers: The Initiative (2007) #14,Avengers: The Initiative (2007) #14 (SPOTLIGHT VARIANT),Avengers: The Initiative (2007) #15,Avengers: The Initiative (2007) #16,Avengers: The Initiative (2007) #17,Avengers: The Initiative (2007) #18,Avengers: The Initiative (2007) #18 (ZOMBIE VARIANT),Avengers: The Initiative (2007) #19,Marvel Premiere (1972) #35,Marvel Premiere (1972) #36,,Marvel Premiere (1972) #37,,,,,,,,,,17,1,2
1017100,A-Bomb (HAS),"Rick Jones has been Hulk's best bud since day one, but now he's more than a friend...he's a teammate! Transformed by a Gamma energy explosion, A-Bomb's thick, armored skin is just as strong and powerful as it is blue. And when he curls into action, he uses it like a giant bowling ball of destruction! ",http://i.annihil.us/u/prod/marvel/i/mg/3/20/5232158de5b16/standard_fantastic.jpg,http://i.annihil.us/u/prod/marvel/i/mg/3/20/5232158de5b16.jpg,0,,,,,,,,,,,,,,,,,,,,,,0,0,0
1009144,A.I.M.,AIM is a terrorist organization bent on destroying the world.,http://i.annihil.us/u/prod/marvel/i/mg/6/20/52602f21f29ec/standard_fantastic.jpg,http://i.annihil.us/u/prod/marvel/i/mg/6/20/52602f21f29ec.jpg,30,Ant-Man & the Wasp (2010) #3,Avengers (1998) #67,Avengers (1963) #87,Avengers Vol. 2: Red Zone (Trade Paperback),Avengers Vol. II: Red Zone (Trade Paperback),Captain America (1998) #28,Defenders (1972) #57,Incredible Hulks (2009) #606 (VARIANT),Marvel Adventures Super Heroes (2010) #16,Marvel Masterworks: Captain America Vol. (Hardcover),,Marvel Masterworks: Captain America Vol. 1 - 2nd Edition (Hardcover),,,,,,,,,,28,0,22
1010699,Aaron Stack,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/standard_fantastic.jpg,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,0,,,,,,,,,,,,,,,,,,,,,,0,0,0
1009146,Abomination (Emil Blonsky),"Formerly known as Emil Blonsky, a spy of Soviet Yugoslavian origin working for the KGB, the Abomination gained his powers after receiving a dose of gamma radiation similar to that which transformed Bruce Banner into the incredible Hulk.",http://i.annihil.us/u/prod/marvel/i/mg/9/50/4ce18691cbf04/standard_fantastic.jpg,http://i.annihil.us/u/prod/marvel/i/mg/9/50/4ce18691cbf04.jpg,43,Avengers (1998) #61,Avengers (1998) #62,Avengers Vol. 1: World Trust (Trade Paperback),Earth X (1999) #7,Earth X (New (Trade Paperback),Hulk (2008) #3,Hulk Vol. 1: Red Hulk (Trade Paperback),Hulk: Destruction (2005) #4,Incredible Hulk (1999) #25,Incredible Hulk (1999) #28,,Incredible Hulk (1999) #50,,,,,,,,,,39,2,24
1016823,Abomination (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/standard_fantastic.jpg,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,3,Ultimate X-Men (2000) #26,Ultimate X-Men Vol. 6: Return of the King (Trade Paperback),Ultimate X-Men Vol. VI: Return of the King (Trade Paperback),,,,,,,,,,,,,,,,,,,1,0,3
1009148,Absorbing Man,,http://i.annihil.us/u/prod/marvel/i/mg/1/b0/5269678709fb7/standard_fantastic.jpg,http://i.annihil.us/u/prod/marvel/i/mg/1/b0/5269678709fb7.jpg,44,Avengers Academy (2010) #16,Avengers Academy (2010) #17,Avengers Academy (2010) #18,Avengers Academy (2010) #19,Avengers Academy (2010) #21,Avengers Annual (1967) #20,Captain America (1998) #24,Dazzler (1981) #18,Dazzler (1981) #19,Fear Itself (2010) #2 (3rd Printing Variant),,Fear Itself: Fellowship of Fear (2011) #1,,,,,,,,,,44,4,29
1009149,Abyss,,http://i.annihil.us/u/prod/marvel/i/mg/9/30/535feab462a64/standard_fantastic.jpg,http://i.annihil.us/u/prod/marvel/i/mg/9/30/535feab462a64.jpg,8,Uncanny X-Men (1963) #402,Uncanny X-Men (1963) #404,Uncanny X-Men (1963) #405,Uncanny X-Men (1963) #406,Uncanny X-Men (1963) #429,Uncanny X-Men (1963) #431,X-Men: Alpha (1994) #1,X-Men: The Complete Age of Apocalypse Epic Book 2 (Trade Paperback),,,,,,,,,,,,,,8,1,3
1010903,Abyss (Age of Apocalypse),,http://i.annihil.us/u/prod/marvel/i/mg/3/80/4c00358ec7548/standard_fantastic.jpg,http://i.annihil.us/u/prod/marvel/i/mg/3/80/4c00358ec7548.jpg,0,,,,,,,,,,,,,,,,,,,,,,0,0,0
1011266,Adam Destine,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/standard_fantastic.jpg,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,0,,,,,,,,,,,,,,,,,,,,,,0,0,0
