ID,FIPS Code,Geographic Area Description,Enterprise Employment Size,Number of Firms,Number of Establishments,Employment,Employment Noise Flag,"Annual Payroll",Annual Payroll Noise Flag
1,0,United States,01:  Total,5775055,7488353,118266253,G,5621697325,G
2,0,United States,02:  0-4,3575290,3580637,5926660,G,241347624,G
3,0,United States,03:  5-9,992281,1003971,6523516,G,228080290,G
4,0,United States,04:  10-19,600551,634233,8058077,G,297246083,G
5,0,United States,05:  <20,5168122,5218841,20508253,G,766673997,G
6,0,United States,06:  20-99,503033,684963,19697707,G,799075150,G
7,0,United States,07:  100-499,85264,360590,16617417,G,752414284,G
8,0,United States,08:  <500,5756419,6264394,56823377,G,2318163431,G
9,0,United States,09:  500+,18636,1223959,61442876,G,3303533894,G
10,1,Alabama,01:  Total,73371,97578,1603100,G,62408287,G
11,1,Alabama,02:  0-4,39890,39946,74251,G,2427857,G
12,1,Alabama,03:  5-9,13622,13760,89532,G,2774013,G
13,1,Alabama,04:  10-19,8199,8647,108818,G,3645259,G
14,1,Alabama,05:  <20,61711,62353,272601,G,8847129,G
15,1,Alabama,06:  20-99,7258,9949,264020,G,9614058,G
16,1,Alabama,07:  100-499,1977,5461,228672,G,8719813,G
17,1,Alabama,08:  <500,70946,77763,765293,G,27181000,G
18,1,Alabama,09:  500+,2425,19815,837807,G,35227287,G
19,2,Alaska,01:  Total,16733,20519,266627,G,14601116,G
20,2,Alaska,02:  0-4,9955,9983,14927,G,801873,G
21,2,Alaska,03:  5-9,2869,2925,18905,G,798067,G
22,2,Alaska,04:  10-19,1742,1850,23087,G,1066884,G
23,2,Alaska,05:  <20,14566,14758,56919,G,2666824,G
24,2,Alaska,06:  20-99,1211,1750,42143,G,2043633,G
25,2,Alaska,07:  100-499,347,1121,42254,G,2143784,G
26,2,Alaska,08:  <500,16124,17629,141316,G,6854241,G
27,2,Alaska,09:  500+,609,2890,125311,G,7746875,G
28,4,Arizona,01:  Total,102313,132762,2173205,G,92770088,G
29,4,Arizona,02:  0-4,61384,61450,96097,H,4044076,G
30,4,Arizona,03:  5-9,16228,16378,106897,G,3571132,G
31,4,Arizona,04:  10-19,9932,10368,131847,G,4495092,G
32,4,Arizona,05:  <20,87544,88196,334841,G,12110300,G
33,4,Arizona,06:  20-99,9066,11478,332594,G,11631418,G
34,4,Arizona,07:  100-499,2661,6795,311977,G,12577749,G
35,4,Arizona,08:  <500,99271,106469,979412,G,36319467,G
36,4,Arizona,09:  500+,3042,26293,1193793,G,56450621,G
37,5,Arkansas,01:  Total,50318,64772,978094,G,36808096,G
38,5,Arkansas,02:  0-4,28610,28637,49491,G,1637624,G
39,5,Arkansas,03:  5-9,9083,9150,59531,G,1719877,G
40,5,Arkansas,04:  10-19,5212,5495,69143,G,2081762,G
41,5,Arkansas,05:  <20,42905,43282,178165,G,5439263,G
42,5,Arkansas,06:  20-99,4491,6359,163819,G,5102334,G
43,5,Arkansas,07:  100-499,1197,3681,134248,G,4455181,G
44,5,Arkansas,08:  <500,48593,53322,476232,G,14996778,G
45,5,Arkansas,09:  500+,1725,11450,501862,G,21811318,G
46,6,California,01:  Total,711086,874243,13401863,G,742523853,G
47,6,California,02:  0-4,440341,441011,715711,G,37108705,G
48,6,California,03:  5-9,118858,120100,779587,G,29849236,G
49,6,California,04:  10-19,71915,75369,956301,G,37994481,G
50,6,California,05:  <20,631114,636480,2451599,G,104952422,G
51,6,California,06:  20-99,61835,78756,2343264,G,102806471,G
52,6,California,07:  100-499,12335,37393,1855713,G,96989201,G
53,6,California,08:  <500,705284,752629,6650576,G,304748094,G
54,6,California,09:  500+,5802,121614,6751287,G,437775759,G
55,8,Colorado,01:  Total,128087,154875,2090975,G,102236869,G
56,8,Colorado,02:  0-4,82343,82446,124461,H,5338220,G
57,8,Colorado,03:  5-9,18753,18888,123297,G,4522949,G
58,8,Colorado,04:  10-19,11439,11862,151112,G,5625378,G
59,8,Colorado,05:  <20,112535,113196,398870,G,15486547,G
60,8,Colorado,06:  20-99,9792,12295,349378,G,14331217,G
61,8,Colorado,07:  100-499,2633,6285,273092,G,13010050,G
62,8,Colorado,08:  <500,124960,131776,1021340,G,42827814,G
63,8,Colorado,09:  500+,3127,23099,1069635,G,59409055,G
64,9,Connecticut,01:  Total,71714,88498,1473605,G,85897033,G
65,9,Connecticut,02:  0-4,40479,40536,70229,G,3312227,G
66,9,Connecticut,03:  5-9,12642,12770,82761,G,3446669,G
67,9,Connecticut,04:  10-19,7808,8130,103705,G,4662077,G
68,9,Connecticut,05:  <20,60929,61436,256695,G,11420973,G
69,9,Connecticut,06:  20-99,6835,8208,247294,G,12437287,G
70,9,Connecticut,07:  100-499,1803,4547,217361,G,11491287,G
71,9,Connecticut,08:  <500,69567,74191,721350,G,35349547,G
72,9,Connecticut,09:  500+,2147,14307,752255,G,50547486,G
73,10,Delaware,01:  Total,19400,24151,382128,G,19541151,G
74,10,Delaware,02:  0-4,10641,10678,17077,H,784017,G
75,10,Delaware,03:  5-9,2951,3000,19382,G,701908,G
76,10,Delaware,04:  10-19,1963,2058,26002,G,1006095,G
77,10,Delaware,05:  <20,15555,15736,62461,G,2492020,G
78,10,Delaware,06:  20-99,1864,2263,62327,G,2586282,G
79,10,Delaware,07:  100-499,633,1225,49408,G,2439817,G
80,10,Delaware,08:  <500,18052,19224,174196,G,7518119,G
81,10,Delaware,09:  500+,1348,4927,207932,G,12023032,G
82,11,District of Columbia,01:  Total,17304,21919,491130,G,35131275,G
83,11,District of Columbia,02:  0-4,8052,8071,14096,G,1051221,G
84,11,District of Columbia,03:  5-9,2658,2676,17495,G,1065037,G
85,11,District of Columbia,04:  10-19,1892,1936,24410,G,1634492,G
86,11,District of Columbia,05:  <20,12602,12683,56001,G,3750750,G
87,11,District of Columbia,06:  20-99,2395,2647,83260,G,5151516,G
88,11,District of Columbia,07:  100-499,977,1518,94560,G,5883450,G
89,11,District of Columbia,08:  <500,15974,16848,233821,G,14785716,G
90,11,District of Columbia,09:  500+,1330,5071,257309,G,20345559,G
91,12,Florida,01:  Total,417164,510389,7134644,G,294142009,G
92,12,Florida,02:  0-4,286014,286268,445249,H,16690405,G
93,12,Florida,03:  5-9,60008,60507,392028,G,13502063,G
94,12,Florida,04:  10-19,33545,34858,444892,G,15423621,G
95,12,Florida,05:  <20,379567,381633,1282169,G,45616089,G
96,12,Florida,06:  20-99,26874,33769,995300,G,36767865,G
97,12,Florida,07:  100-499,6239,16751,806684,G,33003616,G
98,12,Florida,08:  <500,412680,432153,3084153,G,115387570,G
99,12,Florida,09:  500+,4484,78236,4050491,G,178754439,G
100,13,Georgia,01:  Total,169726,217559,3458050,G,154628032,G
101,13,Georgia,02:  0-4,104164,104339,167881,G,6460319,G
102,13,Georgia,03:  5-9,26649,26880,174243,G,5865293,G
103,13,Georgia,04:  10-19,16170,16828,215188,G,7585575,G
104,13,Georgia,05:  <20,146983,148047,557312,G,19911187,G
105,13,Georgia,06:  20-99,14774,18568,535732,G,20003527,G
106,13,Georgia,07:  100-499,3995,9585,428549,G,18162867,G
107,13,Georgia,08:  <500,165752,176200,1521593,G,58077581,G
108,13,Georgia,09:  500+,3974,41359,1936457,G,96550451,G
109,15,Hawaii,01:  Total,25017,31622,502530,G,19881066,G
110,15,Hawaii,02:  0-4,13777,13794,24089,G,942630,G
111,15,Hawaii,03:  5-9,4507,4579,29602,G,1007169,G
112,15,Hawaii,04:  10-19,2754,2889,36554,G,1269513,G
113,15,Hawaii,05:  <20,21038,21262,90245,G,3219312,G
114,15,Hawaii,06:  20-99,2419,3385,93375,G,3262193,G
115,15,Hawaii,07:  100-499,619,1874,79744,G,3037559,G
116,15,Hawaii,08:  <500,24076,26521,263364,G,9519064,G
117,15,Hawaii,09:  500+,941,5101,239166,G,10362002,G
118,16,Idaho,01:  Total,36212,43124,509986,G,18559112,G
119,16,Idaho,02:  0-4,22163,22188,34965,H,1181124,G
120,16,Idaho,03:  5-9,5852,5899,38618,G,1097471,G
121,16,Idaho,04:  10-19,3496,3691,46166,G,1361261,G
122,16,Idaho,05:  <20,31511,31778,119749,G,3639856,G
123,16,Idaho,06:  20-99,2714,3721,93728,G,3105741,G
124,16,Idaho,07:  100-499,757,2095,71405,G,2327867,G
125,16,Idaho,08:  <500,34982,37594,284882,G,9073464,G
126,16,Idaho,09:  500+,1230,5530,225104,G,9485648,G
127,17,Illinois,01:  Total,253743,315364,5209070,G,262263398,G
128,17,Illinois,02:  0-4,156484,156647,246844,H,10548446,G
129,17,Illinois,03:  5-9,39569,39979,259182,G,9787759,G
130,17,Illinois,04:  10-19,24488,25634,326686,G,13158249,G
131,17,Illinois,05:  <20,220541,222260,832712,G,33494454,G
